ROOT,RESERVE,PRIMARY 1,,,,,,,,,,,
אֱגוֹזָא,1,אֱגוּזָא,,,,,,,,,,,
אֱלָהָא,1,אֱלָהּ,,,,,,,,,,,
אֱלוּל,0,אֱלוּל,,,,,,,,,,,
אֱמוֹרָאָה,1,אֱמוֹרָאָה,,,,,,,,,,,
אֲבִילָא,1,אֲבֵלָא,,אָבֵיל,"[', v.  אָבֵל ,  אֲבֵלָא  a.   אֶבְלָא . ']",,,,,,,,
אֲבִילוּתָא,1,אֲבֵילוּתָא,,,,,,,,,,,
אֲבֵידְתָא,1,אֲבֵידְתָּא,,,,,,,,,,,
אֲבַקְתָּא,1,אַבְקָתָא,,,,,,,,,,,
אֲבַרְוָוֽרָא,1,,,,,,,,,,,,
אֲבַרְזֵין,1,*אֲבִרְזִין,,,,,,,,,,,
אֲבַרְתָּא,1,אַבְרָתָא,,,,,,,,,,,
אֲבָרָא,1,אֲבָר ²,"['  Targ. Ex. XV, 10 .  Targ. Y. Lev. XX, 14 ; a. e.— Snh. 64ᵃ   שדיוהו וכ׳  cast ye him into a kettle (of lead)  וכסיוהו וכ׳  and cover him with lead (or heavy load; ed.  שדיוה  incorr.; Ms. M. omits  דאברא ; oth. var. v. Rabb. D. S. a. l.).  Git. 19ᵃ   בא׳  (writing) with lead pencil,  במיא דא׳  with a solution of lead.']",,,,,,,,,,
אֲבוּלָּא,1,אִבּוּלָא,,,,,,,,,,,
אֲבוּלָּאָה,1,,,,,,,,,,,,
אֲגִירָא,1,אָגִיר,,,,,,,,,,,
אֲדֵילָא,1,,,,,,,,,,,,
אֲהִינָא,1,אֲהִינָא,,,,,,,,,,,
אֲוֵירָא,1,אוירא,"[' Y. M. Kat. I, 80ᵇ bot., v.  אַיְירָא ']",אָוֵירָא,"[' empty space, air .  Targ. Y. Ex. XIX, 17 ; a. fr.— Git. 20ᵇ   א׳ דמגילתא  the blank in a scroll (margin &c.).  Men. 35ᵃ   חזי א׳  to face the inside of the T’fillin.', ' air, weather .  Pes. 30ᵇ   שליט בהו א׳  the air strikes them. Y. R. Hash. II, 58ᵃ bot.  א׳ מעונן  cloudy weather; a. fr.', ' pile of bricks with openings between , v.  אַוָּארָא .']",,,,,,,,
אֲוָוֽרָא,1,*אַוְורָא,,,,,,,,,,,
אֲחָא,1,אַחָא,,,,,,,,,,,
אֲחָתָא,1,אֲחָת,,,,,,,,,,,
אֲחוּתָא,1,,,,,,,,,,,,
אֲטוּנָא,1,אֵטוּנָא,,,,,,,,,,,
אֲכִילְתָא,1,אֲכִילְתָּא,,,,,,,,,,,
אֲלִימוּתָא,1,אַלִּימוּתָא,,,,,,,,,,,
אֲלִיתָא,1,אַלִּיתָא,,,,,,,,,,,
אֲלַכְסוֹנָא,1,,,,,,,,,,,,
אֲלוּנְקִי,1,אַלּוּנְקֵי,,,,,,,,,,,
אֲנָשָׁדוּר,1,,,,,,,,,,,,
אֲסִינְתָּא,1,*אֲסִינְתָּא,,,,,,,,,,,
אֲסַנָּא,1,אַסָּנָא,"[' (= h.  סְנֶה , v. Ges. H. Dict. s. v.) ', ' thorn-bush, bramble .  Targ. Ex. III, 2 ; a. e.— Sabb. 67ᵃ  א׳ א׳ Ms. M. (ed.  הסנה ,  הסנה ) Oh thornbush!  Ab. Zar. 28ᵃ   גירדא דא׳  parings of the bramble wood.', ' shrubbery fruit, bramble nut . Ib.ᵇ  קשייתא דא׳  the stones of &c.—Pl.  אַסְנֵי   a drink  made of shrubbery fruit(?).  Pes. 107ᵃ  (Ms. M.  אֲסִינֵי , Ms. M. 2  אֲהִינֵי ; v. Rabb. D. S. a. l.).']",אִסְנָא,"[' ( אסן  = h.  חסֶן ,  אָסָם )  store-house, granary.   —  Pl.  אִסְנַיָּיא .  Targ. Joel I, 17  (Var.  אוּסְ׳ ,  ח׳ ).']",,,,,,,,
אֲסוּפָּא,1,,,,,,,,,,,,
אֲפַנְתָּא,1,אַפַּנְתָּא,,,,,,,,,,,
אֲפַרְסְמָא,1,אַפַּרְסְמָא,,,,,,,,,,,
אֲפַרְסְקָא,1,,,,,,,,,,,,
אֲפָא,1,אָפֵי,,,,,,,,,,,
אֲפוּתָא,1,אַפּוּתָא,,,,,,,,,,,
אֲצִיצָא,1,אֲצִיצָא,,,,,,,,,,,
אֲקַקְיָא,1,*אֲקַקְיָא,,,,,,,,,,,
אֲרִיתָּא,1,אֲרִיתָא,,,,,,,,,,,
אֲרָדָא,1,אַרְדָּא I,,,,,,,,,,,
אֲרָנָא,1,אַרְנָא,,,,,,,,,,,
אֲרוֹנָא,1,אֲרוֹנָא,,,,,,,,,,,
אֲרוּזָא,1,אוּרְזָא,,,,,,,,,,,
אֲשִׁיתָא,1,אַשְׁיְתָא,,,,,,,,,,,
אֲשׁוּחֵי,1,אֲשׁוּחֵי,,,,,,,,,,,
אֲתַר,1,אָתַר,,,,,,,,,,,
אִבְלָא,1,אֲבֵלָא,"[' ch. = h.  אָבֵל .  Targ. Koh. VII, 2 ; a. e.—Pl.,  אֲבֵילַיָּא ,  אֲבֵלֵי ,  אֲבֵילִין .  Targ. Prov. XXXI, 6 ; a. e.—Y. M. Kat. III, 82ᵈ bot.; a. e.']",אֶבְלָא,"[' ch. = h.  אֵבֶל .  Targ. Gen. L, 11  (Var.  אִיבְלָא אָבֵל ). Ib. O. XXVII, 41; a. e.  Targ. Y. II, Lev. X, 19   אֲבֵילָא .— Gen. R. s. 27  (prov.) comes joy, rejoice;  בשעת א׳ א׳  comes mourning, mourn.']",,,,,,,,
אִבָּא,1,אִבָּא,,,,,,,,,,,
אִיָּיר,0,אִיָּיר,,,,,,,,,,,
אִיֽבְרָא,1,אֵיבָרָא,,,,,,,,,,,
אִיֽגְלָא,1,איגְלָא,[' v.  אִגְלָא '],,,,,,,,,,
אִיֽגַּרְתָּא,1,אִיגַּרְתָּא,,,,,,,,,,,
אִיֽגָּרָא,1,אִיגְּרָא,"[' letter , v.  אִיגַּרְתָּא .']",אִיגָרָא,"['(also  אִיגּ׳  with Dagesh) const.  אִיגַר  same.  Targ. Prov. XXI, 9 ; a. fr.—Ruth. R. to I, 17 (Par. 3)  איגר פלטין  roof of the palace.  Git. 85ᵇ  (Rashi  איגרת , corr. acc.), v.  אִגֶּרֶת .—Pl.  אִיגָרַיָּא ,  אִיגָרַיָּיא ;  אִיגָרֵי .  Targ. II Kings XIX, 26 ; a. e.—Y. Pes. VII, 35ᵇ ( Cant. R. to II, 14   אברייאה , corr. acc.); v.   זֵיתָא  I . Lam. R. introd. (R. Yoḥ. 1)  ולא׳ סלקין  and they ascend the roofs.  Pes. 111ᵇ   דבי א׳  those (demons) dwelling on roofs.']",,,,,,,,
אִיֽדְּרוֹנָא,1,אִידְּרוֹן,,,,,,,,,,,
אִיֽזְגַּדָּא,1,אִיזְגַּד,,,,,,,,,,,
אִיֽזְלָא,1,אִיזְלָא,,,,,,,,,,,
אִיֽטְמָא,1,אִיטְמָא,,,,,,,,,,,
אִיֽכָּרָא,1,אִיכָּרָא,,,,,,,,,,,
אִיֽלְוָאתָא,1,,,,,,,,,,,,
אִיֽלְוָוֽא,1,אילווא,"['  Git. 69ᵇ , v.  אַלְוָא ']",,,,,,,,,,
אִיֽלְיָא,1,אִילְיָא,,,,,,,,,,,
אִיֽלְיוֹנָא,1,,,,,,,,,,,,
אִיֽלְפָא,1,אִילפָא I,"[' ( אלף ,  ילף ; Assyr. êlippu)  ship, raft .  Targ. Jon. I, 3 ; a. e.— Lev. R. s. 12 , beg.  כהדא א׳  like the ship tossed about on high sea.  Koh. R. to III, 2  (prov.) at the time thou tiest thy Lulab (for the Feast of Booths)  קטר אלפך  tie thy ship (cease navigation).  Ab. Zar. 10ᵇ   ווי לה לאי׳ וכ׳  woe to the ship which leades without having paid its toll (of a convert who died before circumcision).—Trnsf.  the body of a chicken  ( chest-bone  resembling a ship).  Lam. R. to I, 1   נסבית הדין אי׳ וכ׳  ( רבתי ) I took for myself this ship (of the chicken), for in a ship I came &c.—Pl.  אִילְפַיָּא .  Targ. Ps. CIV, 26 ; a. e.']",אִילְפָא II,"[' Ilfa , an Amora.  Taan. 21ᵃ ; a. fr. [In. Talm. Y.  חילפיי ].  R. Hash. 17ᵇ  אילְפָי וא""ל א׳  Ilfay  or, some say,  Ilfa  (v. Rabb. D. S. a. l.)']",,,,,,,,
אִיֽמַּר,1,אִימַּר,"[' ( אמר , √ אם , v.  אמם ; cmp.  עמרא ,  חומרא ,  צמר ) ', ' [ thick, heavy ,]  lamb .  Targ. Gen. XXX, 32 ; a. fr.— Ned. I, 3  ‘this be as forbidden to me  כאימרא  (Y. ib. I, end, 37ᵃ  כאימרה ) as  the  lamb’— כאימר תמידא  that means, ‘as the lamb of the daily offering’. Lam. R. introd. (R.  Josh. 2 )  דהוה נכיס אמ׳ וכ׳  who slaughters a lamb and augurs from its liver.  Erub. 53ᵇ  (deriding the Galilean dialect) a Galilean cried  אמר למאן וכ׳  who wants  amar?  (indistinctly pronouncing the vowels, as well as the guttural sound of  א ), when they said to him …,  חמר למירכב או חמר למשתי עמר למילבש או אימר לאיתכסאה  (for var. lect., v. Rabb. D. S. a. l. note 10) do you mean  ḥǎmâr  (an ass) to ride on, or  ḥămar  (wine) to drink, or  ãmar  (wool) for putting on, or  immar  (lamb) for slaughtering?; a. fr.—Pl.  אִימְּרִין ,  אִימְּרַיָּא ,  אִימְּרַיָּיה ,  אִמְּ׳ .  Ezra VII, 9 ; a. e.— Targ. Ex. XXIX, 38 ;  XII, 5 ; a. e.—Y. Snh. I, 18ᵈ top  אי׳ רכיכין  the lambs (of the spring) are yet tender (in a letter announcing the intercalation of a month); Bab.  Snh. 11ᵇ   א׳ עדקין  (not  ער׳ ; v.  Tosef. ib. II, 6 ); a. e.—Fem.  אִימַּרְתָּא   ewe .  Targ. Lev. V, 6 ; a. e.— Ḥull. 51ᵃ .  Gen. R. s. 44  end, the sow (Rome) pastures with twenty (young ones),  וא׳ ולא בחד  and the ewe (Sarah) not even with one.—2) (cmp.  חוּמְרָא )  knot, bandage  on wounds.  Snh. 98ᵃ  כולהו שרי ואסרי אי׳ וכ׳ Ar. (in ed. a. Ms. our w. omitted) all of them untie their bandages all at once and tie them up all at once, but he attends to one at a time.', ' fringe, border .  Targ. Ps. CXXXIII, 2 .  Targ. Y. Ex. XXVI, 4  (Var.  אֶימְרָא ). V.  next w. ', '*  pr. n. pl.  כפר א׳   K’far Imra  (Lamb-ville). Y. Taan. IV, 69ᵃ bot.; ( Lam. R. to II, 2   נמרא ).']",אִימַר,"[' to retract , v.  מרי  ch.']",אֵימַר,"['(= h.  אֵמֶר )  speech, utterance .  Targ. Num. XXIV, 3 ; a. e.—Pl.  אִימְרַיָּא .  Targ. Prov. IV, 5  Ms. (ed.  מַאֲמָרֵי ); a. e.']",,,,,,
אִיֽמַּרְתָּא,1,אִימַּרְתָּא,,,,,,,,,,,
